date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:25:21	82758/82758	---MCZ	200	added ('OK')	text/html	etag:W/%225e9aea9e-14346%22	https://templates.envytheme.com/aronix/default/index-4.html	C:/Users/Khasim%20Ali/Desktop/aronix/templates.envytheme.com/aronix/default/index-4.html	(from )
11:25:21	153/153	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2007%20Oct%202020%2005:55:21%20GMT	https://templates.envytheme.com/robots.txt		(from )
11:25:22	155764/155764	---MCZ	200	added ('OK')	text/css	etag:W/%225e9aeaaf-26074%22	https://templates.envytheme.com/aronix/default/assets/css/bootstrap.min.css	C:/Users/Khasim%20Ali/Desktop/aronix/templates.envytheme.com/aronix/default/assets/css/bootstrap.min.css	(from https://templates.envytheme.com/aronix/default/index-4.html)
11:25:22	57997/57997	---MCZ	200	added ('OK')	text/css	etag:W/%225e9aeaae-e28d%22	https://templates.envytheme.com/aronix/default/assets/css/animate.min.css	C:/Users/Khasim%20Ali/Desktop/aronix/templates.envytheme.com/aronix/default/assets/css/animate.min.css	(from https://templates.envytheme.com/aronix/default/index-4.html)
11:25:22	1897/1897	---MCZ	200	added ('OK')	text/css	etag:W/%225e9aeaaf-769%22	https://templates.envytheme.com/aronix/default/assets/css/flaticon.css	C:/Users/Khasim%20Ali/Desktop/aronix/templates.envytheme.com/aronix/default/assets/css/flaticon.css	(from https://templates.envytheme.com/aronix/default/index-4.html)
11:25:22	3274/3274	---MCZ	200	added ('OK')	text/css	etag:W/%225e9aeab0-cca%22	https://templates.envytheme.com/aronix/default/assets/css/odometer.min.css	C:/Users/Khasim%20Ali/Desktop/aronix/templates.envytheme.com/aronix/default/assets/css/odometer.min.css	(from https://templates.envytheme.com/aronix/default/index-4.html)
11:25:22	3176/3176	---MCZ	200	added ('OK')	text/css	etag:W/%225e9aeab0-c68%22	https://templates.envytheme.com/aronix/default/assets/css/meanmenu.css	C:/Users/Khasim%20Ali/Desktop/aronix/templates.envytheme.com/aronix/default/assets/css/meanmenu.css	(from https://templates.envytheme.com/aronix/default/index-4.html)
11:25:23	5259/5259	---MCZ	200	added ('OK')	text/css	etag:W/%225e9aeaaf-148b%22	https://templates.envytheme.com/aronix/default/assets/css/magnific-popup.min.css	C:/Users/Khasim%20Ali/Desktop/aronix/templates.envytheme.com/aronix/default/assets/css/magnific-popup.min.css	(from https://templates.envytheme.com/aronix/default/index-4.html)
11:25:23	3173/3173	---MCZ	200	added ('OK')	text/css	etag:W/%225e9aeab0-c65%22	https://templates.envytheme.com/aronix/default/assets/css/nice-select.min.css	C:/Users/Khasim%20Ali/Desktop/aronix/templates.envytheme.com/aronix/default/assets/css/nice-select.min.css	(from https://templates.envytheme.com/aronix/default/index-4.html)
11:25:23	4206/4206	---MCZ	200	added ('OK')	text/css	etag:W/%225e9aeab0-106e%22	https://templates.envytheme.com/aronix/default/assets/css/owl.carousel.min.css	C:/Users/Khasim%20Ali/Desktop/aronix/templates.envytheme.com/aronix/default/assets/css/owl.carousel.min.css	(from https://templates.envytheme.com/aronix/default/index-4.html)
